username,repo_name,stars,repo_url
sindresorhus,awesome,265000,https://github.com/sindresorhus/awesome
vinta,awesome-python,176000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,142000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,106000,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,104000,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,75600,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,72300,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,67900,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,62600,https://github.com/jaywcjlove/awesome-mac
enaqx,awesome-react,57400,https://github.com/enaqx/awesome-react
DopplerHQ,awesome-interview-questions,56700,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,55000,https://github.com/MunGell/awesome-for-beginners
sindresorhus,awesome-nodejs,52300,https://github.com/sindresorhus/awesome-nodejs
prakhar1989,awesome-courses,48500,https://github.com/prakhar1989/awesome-courses
fffaraz,awesome-cpp,48100,https://github.com/fffaraz/awesome-cpp
Solido,awesome-flutter,48000,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,47000,https://github.com/wasabeef/awesome-android-ui
binhnguyennus,awesome-scalability,46200,https://github.com/binhnguyennus/awesome-scalability
vsouza,awesome-ios,43600,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,42000,https://github.com/tiimgreen/github-cheat-sheet
