username,repo_name,stars,repo_url
Genymobile,scrcpy,89200,https://github.com/Genymobile/scrcpy
neovim,neovim,68400,https://github.com/neovim/neovim
obsproject,obs-studio,49400,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,48100,https://github.com/fffaraz/awesome-cpp
git,git,47000,https://github.com/git/git
FFmpeg,FFmpeg,37700,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,36400,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,31900,https://github.com/vim/vim
curl,curl,30900,https://github.com/curl/curl
huihut,interview,29900,https://github.com/huihut/interview
ggreer,the_silver_searcher,25100,https://github.com/ggreer/the_silver_searcher
pbatard,rufus,24300,https://github.com/pbatard/rufus
mpv-player,mpv,23200,https://github.com/mpv-player/mpv
ossrs,srs,22300,https://github.com/ossrs/srs
google,flatbuffers,20900,https://github.com/google/flatbuffers
ruby,ruby,20600,https://github.com/ruby/ruby
kovidgoyal,kitty,19500,https://github.com/kovidgoyal/kitty
microsoft,vcpkg,19400,https://github.com/microsoft/vcpkg
oracle,graal,18900,https://github.com/oracle/graal
radareorg,radare2,18400,https://github.com/radareorg/radare2
