username,repo_name,stars,repo_url
vercel,next.js,110000,https://github.com/vercel/next.js
rust-lang,rust,84200,https://github.com/rust-lang/rust
sveltejs,svelte,71700,https://github.com/sveltejs/svelte
webpack,webpack,63400,https://github.com/webpack/webpack
gatsbyjs,gatsby,54700,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,45400,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,42600,https://github.com/parcel-bundler/parcel
babel,babel,42400,https://github.com/babel/babel
evanw,esbuild,35800,https://github.com/evanw/esbuild
vlang,v,34200,https://github.com/vlang/v
carbon-language,carbon-lang,30900,https://github.com/carbon-language/carbon-lang
markedjs,marked,30200,https://github.com/markedjs/marked
swc-project,swc,28200,https://github.com/swc-project/swc
FuelLabs,sway,25300,https://github.com/FuelLabs/sway
ziglang,zig,24600,https://github.com/ziglang/zig
vercel,pkg,23600,https://github.com/vercel/pkg
v8,v8,21500,https://github.com/v8/v8
typst,typst,20000,https://github.com/typst/typst
AssemblyScript,assemblyscript,15800,https://github.com/AssemblyScript/assemblyscript
nim-lang,Nim,15400,https://github.com/nim-lang/Nim
